索引,职位名称,公司名称,薪资,工作经验,学历要求,工作文字信息,URL
345,全栈工程师,北京鳄梨智面科技,20-40K·16薪,在校/应届,本科,"# Vizzy Labs 招聘全栈工程师【校招/实习/社招】
## 公司介绍
Vizzy Labs 是专注于社交媒体和电商领域的创意营销科技 Start-Up。我们的【高转化素材玩法搜索引擎】和【自动蹭热点生成】已被北美头部服饰、美妆品牌采用，实现ROAS提升 42%。实力团队总部位于硅谷，创始团队来自斯坦福、卡耐基梅隆、TikTok、Google、Tesla等背景，并已获千万元头部美元基金投资，并进入北美红杉资本孵化项目。
职位：全栈工程师（北京/武汉/深圳）
### 工作职责
- 负责公司核心产品的前后端开发与维护，确保产品功能稳定高效运行
- 参与AI驱动的视频分析与内容推荐系统的开发，实现创意营销自动化
- 与产品团队紧密合作，将业务需求转化为技术解决方案
- 优化现有系统架构，提升数据处理效率和用户体验
- 参与技术选型与技术架构决策，为产品扩展提供技术支持
### 任职要求
- 计算机或相关专业本科及以上学历，有过全栈开发经验
- 前端技术：熟练掌握React/Vue.js、TypeScript、现代CSS框架
- 后端技术：精通Python(Django/FastAPI)或Node.js，有丰富API开发经验
- 数据库：熟悉SQL(MySQL/PostgreSQL)和NoSQL数据库，具备数据建模能力
- 云服务：有AWS/GCP部署经验，了解容器化和微服务架构
- 具备基本的AI/ML知识，熟悉常见算法集成方式，有视频处理经验者优先
- 具有良好的编码习惯，注重代码质量和测试覆盖率
- 有创业公司工作经验或电商/社交媒体行业经验者优先考虑
- 良好的英文读写能力，能与国际团队成员有效沟通
### 加分项
- 有多模态AI模型应用经验
- 具备推荐系统或内容分析系统开发经验
- 有高并发、大数据处理经验
- 参与过从0到1的产品开发全流程
### 我们提供
- 有竞争力的薪资待遇和期权激励
- 弹性工作时间和远程工作选项
- 直接参与硅谷创新项目的机会
- 与顶尖技术团队共同成长的平台
- 定期技术分享和学习机会
- 扁平化管理，快速决策文化
### 工作地点
北京/武汉/深圳",https://www.zhipin.com/job_detail/c20e9604c02c355203dz0tm7F1dU.html?securityId=kfIDQEf9Jlqqg-D1q3oDfXfhawyueao2dzh4yRdHaW6ugh4sKa83tkMSXuH9UYgfMZzd3-m_R7UNSg8uchisnTSTAWtO4p6QzKihILBe1I7PaafUG5UphaO82t43lY06N9pxOiWfCFYsTg~~&ka=search-list-1yGQl9q2wIO.search.286
346,全栈软件开发工程师,起点通信,8-11K,3-5年,本科,"岗位要求：
1、大学本科及以上学历，计算机、软件工程相关专业。
2、具有前后端全栈开发能力，熟悉Spring Boot、Mybatis、Mysql、Redis等常见后端技术栈和Vue、uniapp等网页、app与小程序开发相关前端技术栈；
3、能够独立设计数据库，完成后端代码，输出API文档，完成前端页面设计，和逻辑交互。
4、具有良好的逻辑思维和编程能力：能根据需求独立完成前后端需求的沟通、设计和开发；
5、具有良好的沟通理解协作能力：能分析理解业务业务需求并与各方沟通业务和技术细节；
6、具有良好的学习能力：在开发过程中，对接触到的报错和新技术需求能通过使用搜索引擎、查阅文档、利用AI大模型等方法学习和解决；
7、具有基本的运维能力：了解基本的Linux操作、nginx配置、掌握git使用等运维和协作技术；
加分项：
- 了解RAG等技术的大模型应用开发者优先
- 有从0到1设计开发项目经验者优先。
- 了解docker、CICD等技术者优先",https://www.zhipin.com/job_detail/ed97af8356d02c2603V62N24FltS.html?securityId=xXxzBMTJtTV7D-R1nNaG293tAD6pFPc7GyG2bjL9VZ2hoNEMkAwWPNsjJu44ivbwV3LruZN21a5uBWeVS_UjX9s15vCy-LXwpsNnJjwoq8KKnPMkgKwGJBd6XKCGcHroOYp88qoO8Z5xGQ~~&ka=search-list-1yGQl9q2wIO.search.287
347,中级全栈工程师,浙通服,10-14K,1-3年,本科,"岗位职责:
1. 负责进行全栈开发工作，确保代码质量和系统稳定性。
2. 参与系统架构设计，包括功能模块和数据库结构设计。
3. 与团队成员紧密合作，快速定位并解决技术难题，优化系统性能。
任职要求：
1. 熟练掌握Java、Go、Python、Vue 等编程语言，具备良好的编程习惯。
2. 熟悉主流的软件开发框架和技术栈，能够高效完成模块开发。
3. 具备优秀的团队合作能力，能够有效沟通，共同解决开发中的问题。 浙江省通信产业服务有限公司（简称中国通信服务浙江公司）成立于2006年9月,系我国通信行业第一家在海外上市的生产性服务类企业——中国通信服务股份有限公司（HK552）在浙江设立的全资子公司。目前，公司下设20余家专业子（分）公司，业务范围覆盖全国31个省、市、区，在沙特阿拉伯、阿联酋、巴基斯坦、肯尼亚、委内瑞拉等国家设有海外公司，同时管理浙江省电信实业集团公司（存续企业）。公司年业务收入规模超百亿元， 是浙江省信息化领域生产性服务业的主导企业。
 公司拥有先进的技术、完备的资质、优秀的管理团队，致力为国内外通信运营商、信息和媒体运营商、政府及企业客户等提供专业的一体化服务，产品及服务涵盖""通信建设服务""、""基础设施建设""、""网络运营维护""、""外包服务""、""应用、内容及其他服务""等多个板块，包括咨询设计、施工、监理、网络维护、渠道服务、设施管理、IT应用服务、语音增值、互联网增值服务及其他10余个专业。在智慧城市、云计算中心建设、视频监控等领域具备了独特的咨询、设计、建设和服务能力，多项专业能力处于国内领先水平。
 目前，公司为国家智慧城市培训基地所在地，是浙江省智慧城市研究院理事长单位、浙江省智慧城市促进会副会长单位、浙江省智慧城市产业技术联盟成员、浙江省电力协会会员、浙江省物联网协会会员等。",https://www.zhipin.com/job_detail/32d545f6233a4bdd03V53968F1pV.html?securityId=v5naMpAxgsSvq-k1zaH5iVGdQZxG-WxtFWqVS3E6vEK8g_0BwuhTHbGS-DAvmlw_BTy0gEhVYPurhfFHoGborpXmcNsJifedsstWAFNOYtymaP4dOT5naeP7yuoF2h6u5-GymNzf-1g~&ka=search-list-1yGQl9q2wIO.search.288
348,AI Native 全栈工程师,交易哲学,20-40K,3-5年,本科,"我们是一家AI 原生创业公司，正在打造一款AI Native 产品，让它成为帮助客户更高效经营的AI Agent。为此，我们希望寻找若干热衷探索AI应用的全栈工程师。
我们相信在AI时代，产品、算法、工程的伙伴应该像创业小组一样聚集在一起，不设边界，做大量朴素的探索，这意味着：
1. 强悍的学习能力，通过精读论文和不断尝试新技术、新框架，拓展技术视野；
2. 思维开放、热爱动手尝试，能够自主实现端到端的项目Demo 落地；
3. 积极乐观，在探索过程中不怕受挫，持续升级对AI技术能力和边界的认知，能预判技术对业务的潜在影响；
【岗位职责】
全栈开发与AI集成
负责AI驱动的全栈系统设计与开发，涵盖前端交互界面（React/Vue）、后端服务架构（Python/Java）、数据库及AI模型部署全链路
将大语言模型应用集成至实际业务场景，优化模型推理效率及服务稳定性。
技术架构设计与创新
设计高可用、可扩展的Agent工程架构
研究LLM、Agent、RL等前沿技术并推动落地应用
【任职要求】
计算机/数学/电子工程等相关专业本科及以上学历
熟练掌握至少一种主流编程语言（Java、JavaScript、Python等）
具备扎实的计算机基础知识，包括数据结构、算法、操作系统、网络等
对AI技术有浓厚兴趣，有实际项目经验或参与过AI相关实践活动
了解基本的软件工程实践，如版本控制、测试、CI/CD等
具备良好的学习能力、沟通能力和团队协作精神
【加分项】
熟悉机器学习基础理论和常用算法，了解深度学习框架（如TensorFlow、PyTorch等）
具备产品思维，能理解业务需求并转化为技术方案
【成长建议】
持续关注AI领域的最新技术发展，积极参与技术社区和学习交流
在实践中不断提升编程能力和系统设计能力，尝试解决复杂的工程问题
培养产品思维，思考如何将AI技术转化为有价值的产品功能
参与开源项目或自主开发AI应用，积累实战经验
学习跨学科知识，如产品设计、用户体验、业务领域知识等，提升综合解决问题的能力
保持技术好奇心，不断尝试新技术、新框架，拓展技术视野",https://www.zhipin.com/job_detail/35e17ec1306076e703Fy3ti6F1ZU.html?securityId=qMFMsRDaKjnyQ-a1eBxqY2uWTu4oRnGU9Y4G0n_tLCw6VyIthlE3CpIutGpke7xs1UVvmrIx-I5dLQipRHnEiHgu1ThimdVfnnjprh9tuTaAwtWE_AIsFAmNOHr5EI2V4_18BCUEMUsOog~~&ka=search-list-1yGQl9q2wIO.search.289
349,全栈工程师,杭州双梓星网络科技,8-12K,经验不限,本科,"工作内容
1、负责系统模块的开发，确保代码质量和模块功能的实现。
2、参与模块测试，与测试团队合作确保模块的稳定性和性能。
3、理解业务需求，进行功能设计和数据库设计，确保系统架构的合理性。
任职要求
1、具备后端Java或其他语言编程能力，具有移动端编程经验，熟悉主流框架。
2、熟练使用MySQL，redis数据库，具备良好的SQL编程能力。
3、具有良好的问题解决能力，能够独立承担模块开发和维护工作。",https://www.zhipin.com/job_detail/4bd5892737cd38a303B829u5GFRR.html?securityId=TChvqoQ4GDiZs-Y1MW4xcOvvMAcVQlZhU8G9IeYXmsUqh_r2VAtkIRn_JoUic__84QNqk0bdUD780G8tWK5fDbj_-IMRPddGZn5-NKz2ALPhGeS1DM4a7Z1v4ubKSfUpnzxiSDuru2R8ZQ~~&ka=search-list-1yGQl9q2wIO.search.290
350,中级全栈工程师,三花微通道,12-22K·13薪,3-5年,本科,"中级全栈开发专员/工程师
岗位职责
核心系统开发：
根据业务需求进行MES系统的二次开发和定制化功能实现。参与需求分析、技术方案设计及落地实现。
开发和维护MES与其他系统（ERP、WMS等）的接口集成
负责MES系统日常运维，优化MES性能，确保系统稳定、高效运行
开发高性能API服务（ASP.NET Core WebAPI），支撑移动端（Xamarin/MAUI）、即时通讯工具（如自研IM或企业微信/钉钉集成）的数据交互。
负责项目的上线部署，提供技术支持
与产品、实施团队协作，深入理解业务需求，将业务流程转化为可落地的前端交互方案，输出技术文档与接口规范。
主导前端性能优化、组件化开发及跨系统数据对接（如与MES/WMS的API联调），保障系统兼容性、稳定性及用户体验。
编写开发文档、测试用例及用户操作手册，协助完成项目交付、验收及后期运维支持。
参与技术攻关，解决复杂业务场景下的前端技术难点（如大数据量渲染、实时数据同步等）。
负责企业级APP（含U9 ERP、MES等移动端）的界面开发与交互优化，通过组件化设计提升操作流畅度与视觉一致性。
系统集成与优化：
主导工业设备（PLC、AGV）数据采集模块开发，基于OPC UA/Modbus协议实现与MES系统的实时交互。
设计跨系统数据同步方案（如RabbitMQ消息队列），解决ERP-WMS库存状态一致性、工单状态跨系统流转等问题。
优化SQL Server/Oracle数据库性能（索引优化、分表分库），处理TB级业务数据（如年度采购订单流水）。
移动端与通讯集成：
开发企业移动端应用（如工单报工、库存查询），实现与ERP系统的数据双向同步，支持离线操作。
集成即时通讯功能（如SignalR实时消息推送），开发业务通知模块（如库存预警自动触发IM消息提醒）。
全流程交付：
编写技术文档（接口规范、部署手册），参与DevOps流程（Azure DevOps/Jenkins），实现CI/CD自动化部署。
支持生产环境故障排查（通过ELK日志分析），保障系统SLA≥99.9%。
任职要求
技术能力
基础要求：
学历与经验：全日制本科及以上学历，计算机、信息管理或相关专业
3年以上C#开发经验，精通.NET 6+、ASP.NET Core、Entity Framework Core，熟悉WPF/WinForms桌面端开发。
掌握分布式系统开发（微服务、gRPC），熟练使用Dapper/SqlSugar等高性能ORM工具。
熟悉消息中间件（RabbitMQ/Kafka）、缓存技术（Redis）、容器化部署（Docker/K8s）。
精通C#语言，熟悉java语言，具备代码优化能力
熟练使用常用数据库，sqlserver、mysql等，对sql优化有一定的经验，熟练使用redis等非关系型数据库
精通div+css布局的html代码编写，熟练手写标准css样式表，进行页面重构，能解决常见的浏览器兼容性问题
精通Vue.js/React等前端主流框架，会使用常用的node.js工具，如webpack/gulp/grunt等
熟悉html5、css3、ecmascript 6与w3c web标准；熟悉dom/ajax等前端技术
熟悉前端工程化实践（Webpack/Vite、Git协作、CI/CD），具备模块化、组件化开发经验。
掌握RESTful API对接及常见数据可视化方案（Echarts/AntV等），了解WebSocket实时通信。
具备React Native/Flutter跨端开发经验，能解决Android/iOS平台差异化适配问题。
能用数据驱动设计决策（如通过Click Map优化按钮位置），平衡业务需求与体验最优解。
熟练使用Figma/Axure与UI团队协作，理解设计系统（DSM）的原子化组件构建逻辑。
业务匹配：
有ERP、供应链系统开发经验，熟悉制造业核心流程（如BOM管理、工单派发、先进先出库存策略）。
具备工业协议（OPC UA/Modbus）或IM通讯协议（XMPP/MQTT）开发经验者优先。
熟悉生产管理、质量管理、设备管理、物料管理、数据采集与分析等MES核心模块
综合素质
架构设计能力：能根据业务需求设计分层架构（领域驱动设计/六边形架构），平衡开发效率与系统扩展性。
问题拆解能力：针对复杂场景（如跨系统分布式事务）可输出技术方案（流程图+伪代码），主导技术攻关。
协作能力：适应与产品、运维、硬件团队协作，能用技术语言诠释业务需求（如将采购策略转化为规则引擎配置）。
代码质量意识：代码符合SonarQube规范，单元测试覆盖率≥70%，熟悉Moq/NUnit等测试框架。
具备良好的沟通能力、抗压能力和团队合作精神，善于思考，能独立分析和解决问题
对新技术充满热情，具备自我驱动和持续学习的能力
加分项
有移动端开发经验，熟悉跨平台性能优化（如渲染卡顿解决）。
熟悉工业实时数据库（如Historian）或低代码平台（如流程引擎开发）。",https://www.zhipin.com/job_detail/ba64df2c95d2d7cb03B_39i6EVZW.html?securityId=2OGJv88vDCQor-v1ZMO6XrFsTdn4MnbLdVZtldoAuMcYgI3yDA_Hxra4AKANERr4P5I_PGLh4TNB0h1b6W3zjjxgbrJwWNrvgxtN08wXXoUlbflJQh7pMRXWtA4cBuky1RVDDidvTg~~&ka=search-list-1yGQl9q2wIO.search.291
351,全栈工程师,奇禾网络,10-15K·13薪,经验不限,学历不限,"岗位描述
1、 参与系统框架和核心模块的开发并维护；
2、 根据业务部需求，进行新产品开发；
3、 根据公司技术文档规范编写相应的技术文档；
4、 负责开发项目中的各种产品需求，提出技术方案，保障工作能够按时按质按量完成。
职位要求
1、 计算机相关专业，专科及以上学历；27周岁以下
2、 熟悉PHP开发，有1-3年PHP开发经验，具备独立开发能力，有良好的沟通、协调能力和强烈的责任心，具备良好的团队合作精神，对工作积极严谨踏实，能承受较大的工作压力。
3、 熟悉css/xml等网页技术，熟练掌握React、Vue等框架，有自己开发前端项目的能力；
4、 熟悉常用的一两种PHP框架技术，如yii\laravel 等，
5、 熟悉缓存技术，如reids，熟悉mysql数据库设计和性能调优 ，熟悉linux命令
6、 可以单独对已有的系统进行维护，工作认真细致负责，有良好的自学能力，较强的抗压能力，独立思考能力，能够在短时间内学习并应用新技术",https://www.zhipin.com/job_detail/4c1ec3070d23bfdf1XZ50ty1EFRY.html?securityId=gKlu3uBsRPTrz-m1-N21tNiEpgeSw1npEgOA3mKZshFMh9fD_zqquxFaWiiD-Oj0CZXcTphgRkGa1i7j1LgZag4Fi-yw4-2US90j-nMlRO3MbKPtOk4Ky-he3N4-G8TukK_pYQBWA6zC&ka=search-list-1yGQl9q2wIO.search.292
352,手机厂商快应用开发（全栈 兼职项目),杭州店飞科技有限公司,60-120元/时,经验不限,学历不限,"工作周期：1个月
每周工期：无要求
工作时间：不限
工作时段：不限
结算方式：完工结
招聘截止时间：2024-12-01
创始人介绍：
CEO是北大研究生毕业，早期曾在百度阿里大厂工作多年，也曾任某上市公司CTO，独立事业部总裁（带400多人），也曾成功融资一线投资基金。这是二次创业，尚未融资，期待同仁们的支持，感谢。
项目介绍：
我们需要开发几款手机厂商的快应用，有对标的竞品可以提供，没有产品文档，要求最大程度还原竞品的功能，我们这边有项目经理对接需求，且我们项目经理是资深的技术的出身，沟通起来比较容易且高效。
公司介绍：目前还在创业早期，属于几个人的作坊，这个项目也是我们的创业启动项目，还望多多支持。
交付周期：14天
支付方式：对公转账打入开发者的银行卡
要求：
1，一定要开发过手机厂商的快应用，有快应用在手机厂商的上架经验
2，开发者最好是个人，不考虑外包公司，开发者要求是全栈类型，偏前端
4，希望能够长期合作，包括后续的迭代升级维护
5，人品正直 有耐心 有职业道德",https://www.zhipin.com/job_detail/48d9f3f9dbf107451Hx529S4F1BQ.html?securityId=hdSGHL7Qka9i5-T1eUNWnWY9zCZgiBYNgYVEgkAuXeXd5o1frP_IVx46Ru0bTswAUwabBK1ZcGHfvx3gmATG1IduAAE-MG9IpZ9rHdIGaM7pagVlgR6fyBDxJbET6OmXnNb3aFsAigP6UA~~&ka=search-list-1yGQl9q2wIO.search.293
353,高级全栈工程师,寰映信息科技(上...,11-14K,3-5年,本科,"工作内容
1、负责APP/SAAS前端与后端接口的开发与维护，确保代码质量，长期追溯和可维护性及“像素级”“顺滑”用户体验。
2、高度参与前端功能模块的设计，与团队协作完成项目目标。
3、与测试团队合作，确保实现“高可用性”。
任职要求
1、熟练掌握Uni，React，Java等技术栈，具备独立开发完整项目能力，具备强迫症的编码习惯是加分项；
2、具备面向与海外应用交互风格审美，对于像素级别的设计和实施具有成就感和执念，非天赋型的选手审投，天赋型选手大概率录用；
3、对移动应用新技术&交互视觉有浓厚兴趣，能够以艺术品心态看待产品，我们接受学习成长，但一定具备先天的审美素养为前提；
4、不要求你会沟通，但求在自己的领域专业沉浸且具备“责任感”；
5、家中养宠爱宠的同学是加分项，鼓励带宠上班！
我们是一家快速成长的宠物智能设备制造商，期待你的加入：）",https://www.zhipin.com/job_detail/84b4e2c5aaa5f9ad03B63N-6EVBT.html?securityId=4PELEQWCEzgf_-N1zWmdkPG0pnNZ-MI1sxEdAd1lbTZaMA0Cw69JPUFS_3JjolYULC9Z72LSZMQzGBhqML4-i4L3D0m9RIMGvf_b_QQKuIfKvi2BXplTk07DdW02lK7g3FHiO5th4LQ~&ka=search-list-1yGQl9q2wIO.search.294
354,全栈工程师,博亦远科技,10-15K,3-5年,本科,"一、岗位职责
1、负责公司项目的需求编码实现，能准时、优质地完成全部工作；
2、参与开发过程中的技术预研，解决产品开发过程中的技术问题；
3、编写负责模块的相关设计、维护文档，有良好的编码规范；
4、协助测试工程师进行功能测试，定位并解决发现的问题；
二、任职要求
1、计算机相关专业本科及以上学历，一至三年以上Java Web应用软件开发经验；
2、熟悉Java语言，熟悉面向对象编程，熟练掌握Spring、Mybatis等开源框架；
3、熟练掌握MySQL等数据库开发、熟练掌握SQL语句；
4、了解基本的web页面开发技巧，对html、css、js、JQuery有一定了解；
5、有良好的编码风格，能承担一定的工作压力
三、岗位需求补充：
1、项目是公司自己的ERP产品，一直在卖给客户使用，所以就会不停的迭代更新
2、日常开发的项目和主要技术：
ERP进销存系统：SSH架构(jdk1.6)、ExtJs、Jquery、mysql数据库、memcached缓存
B2B商城系统：SpringMVC(jdk1.8)、freemarker、H2内存数据库、redis/memcached缓存
对外接口系统：SpringBoot(jdk1.8)、memcached缓存
3、开发工具：idea
4、全栈，jsp前端+java后端全部都做
前端是用jsp+jquery+extjs，样式使用的easyui实现的",https://www.zhipin.com/job_detail/404cb339d0460a9503F-2t67EVpQ.html?securityId=0bmz8NlDyY1tD-Q1Gf8lgctG2_H4ZYerSQ88GAHzkgNu__XJ67ajKrmLgzxY4i4qy2ygWY53BYFZLsAY5TN-8iz8cfAZG4TCV4ihIpyjsdrq2THFiGYHbPJGrPB4E4V1XB-V82Lh7fmw&ka=search-list-1yGQl9q2wIO.search.295
355,小程序全栈兼职,微风口网络科技,20-25K,5-10年,大专,本公司是外包公司，对外接项目，需要兼职在线协作开发，小程序全栈开发，后端要求java，纯编码，其他岗位都有专业人才配合...需要履约能力强悍的伙伴，有类似兼职经验和案例，懂的人来聊。,https://www.zhipin.com/job_detail/ea3dc01b9c8add5e1nR82t--FVVT.html?securityId=-584nS3xvwFPT-p1_StNxj01rale2yq4z-m3DC8lRKwfHE3gGcypOXrisyzVycLCrwI5Dl6LR5WDIvCOZcZi_cshd_KC66BMH2_0kjvP8Py2w5rLgrXhCTA2tMXRBhrB8dGOgyl7sg~~&ka=search-list-1yGQl9q2wIO.search.296
356,智能软件研发,浙江省北大信研院,15-30K,经验不限,本科,"1、熟练使用java、python等语言
2、大数据、java等后端工作
3、机器学习、深度学习、大模型等算法工程化工作",https://www.zhipin.com/job_detail/f930698bc8376e0a1nx52Nq8FVRR.html?securityId=GjWdGsunNLkId-d1crtCNSK1iiE_-HQdHBE0m7mLrDGqF9wVfzTXbYO_fGzLqBLWfm6MOdxCZyBqPHAmrJeIZLHpNLZa_NNxd62_vVfEibIsONwvUEJpiL0sLyyBaGkQE3nlJdpdqY8~&ka=search-list-1yGQl9q2wIO.search.297
357,全栈工程师,万思奇,12-15K·13薪,5-10年,本科,"岗位职责：
1、负责设计和开发高质量的全栈解决方案，确保系统稳定性和高性能；
2、参与产品从概念到上线的全过程，包括需求分析、架构设计、编码实现及后续优化；
3、持续优化现有系统，提升用户体验，确保快速响应业务需求变化；
4、与团队紧密合作，参与代码审查，分享技术知识，推动团队技术进步；
5、探索新技术和工具，为项目引入创新解决方案，提高开发效率和产品质量。
任职要求：
1、精通前端技术栈（如React/Vue/Angular等）和后端技术（Node.js/Java/Python等）；
2、具备良好的OOP编程能力和系统设计思维，能够独立解决复杂问题；
3、熟悉数据库设计与优化，有处理大数据或高并发系统的经验；
4、熟悉版本控制工具（如Git），有良好的编码习惯和文档撰写能力；
5、具有较强的学习能力和团队合作精神，能够在快节奏的环境中有效工作。",https://www.zhipin.com/job_detail/f3a5d3a177a2bce103Fz3dy5GFJR.html?securityId=y5Lf3lOJnASZq-r1qXs7HgRdwyigRO7eqB3iUjM_liu5m3vVYB1pNfe7ZDrHw7pbu1W41q4NYWzp3FG83SN_w-bt1wG_FWIjSpCA5Z3PsqWnTVzqwJPtyhQI0-BtOR6P50Gow3QTq0jG&ka=search-list-1yGQl9q2wIO.search.298
358,全栈运维开发工程师（校招/应届生）,杭州瀚云动力技术,12-15K·14薪,在校/应届,本科,"关于我们
杭州瀚云动力是AI基础设施运维领域的新锐玩家，2024年成立即深度服务头部AI企业（涉及等顶尖GPU集群运维）。我们团队小而猛（人均95后，直接向CEO汇报），做的事硬且新：用自动化+AI重构GPU服务器运维全流程，从0到1打造“运维大脑”，支撑大模型训练、推理的算力稳定！
岗位核心：1个人当3个人用，1年成长顶3年
你要同时Hold住 “GPU服务器日常运维”+“运维自动化平台开发” ，在资源少、节奏快、技术迭代猛的初创战场，用「全栈能力+抗压心态+学习速度+AI工具」破解难题，成为能扛事儿的“六边形战士”！
岗位职责：运维×开发×AI，三位一体
运维实战：做GPU集群的“急诊医生”（全栈能力+抗压能力）
参与GPU服务器现网运维：全流程闭环（从发现→排查→修复→验证）；
深度参与业务全环节：服务器验收、资源交付、监控告警、故障修复，成为“从物理机到虚拟机”的全链路专家；
用AI工具提效：让Copilot生成故障排查脚本，用ChatGPT分析dmesg日志，把2小时的问题压缩到30分钟解决。
开发攻坚：造运维团队的“自动化武器”（全栈能力+AI善用能力）
从0到1搭建运维自动化平台：用Go写后端服务（CMDB、故障自愈引擎），用Vue写前端页面（监控大盘、工单系统），让重复运维动作“自动跑”；
探索AI+运维：训练小模型分析GPU日志、用LLM生成监控规则，让系统自己“诊病治病”。
学习迭代：当技术变化的“冲浪手”（学习能力+业务不确定）
死磕AI基建前沿：跟进大模型训练/推理对GPU的特殊要求，研究云管平台新特性，折腾未来世界的《GPU运维避坑指南》；
响应业务快速变化：参与需求评审，把客户公司的模糊需求转化为自动化功能（如“硬件验收Checklist工具化”）；
每周技术分享：拆解AI工具、开源项目（k8s运维组件），带团队一起“技术升维”。
任职要求：四力合一，敢打硬仗
全栈能力（基础项）
Linux基础扎实：熟练使用Linux排查问题，懂系统日志分析、服务启停；
掌握至少1门开发语言：Go（优先）能独立写工具脚本，了解前端Vue/React（加分，可独立实现简单页面）；
接触过运维/开发工具链：如用Jenkins做CI、Prometheus做监控（实习/毕设经验均可）。
抗压能力（生存项）
适应初创快节奏：同时推进“值班处理故障+平台开发需求”，接受紧急响应（如凌晨处理集群告警）；
有多任务交付经验：实习/项目中同时完成“后端接口+前端页面+测试用例”并按时交付。
学习能力（成长项）
主动追技术：订阅《ACM Queue》《InfoQ》，关注AI运维、大模型落地动态；
英语能打：流畅阅读NVIDIA官方手册、火山引擎API文档等英文技术资料。
AI善用能力（破局项）
熟练用AI工具提效：用Copilot写Go/Python代码，用ChatGPT分析dmesg日志，用Bito生成测试用例；
参与过AI工具实践：训练小模型做日志分类（加分）。
为什么选我们？初创公司的“反卷”优势
业务硬核：天天和高端 GPU打交道，参与大模型训练基建，简历直接“镶金”；
成长爆炸：从0到1搭系统，CEO直接带飞，1年顶别人3年经验；
技术自由：用AI工具光明正大“作弊”，拒绝重复劳动；
氛围扁平：没有“总/总监”，工位挨着CEO，需求直接聊，方案自己拍；
福利实在：五险一金+弹性上班+可选北京/杭州工作地点，重点是——能真正影响AI产业的未来！",https://www.zhipin.com/job_detail/e87d7e659b942fa703By2Nu0EFRQ.html?securityId=jQ60o6O4Odw5N-z1GJMnDM_4QIiqoYcC_FpXJK2btfHZPNZNUpVKgqfa1hfOLNUsYyoWNTt9eRdayu2FPNXc7MOpIWm_FTY4NO737uZnW-nkB0FOpW9rBWRdecJCCRD6MdqYV_rUZ7e1&ka=search-list-1yGQl9q2wIO.search.299
359,全栈软件开发工程师,新农都,10-15K·13薪,3-5年,本科,"【岗位职责】
1.与产品经理深入沟通，准确理解和定义软件开发需求。
2. 评估和选择合适的技术和工具，以满足项目需求和技术标准。
3.独立完成系统架构设计、数据库设计、前后端接口开发和对接。
4.执行项目开发计划，确保按时交付。 
5.熟悉WEB前端技术，了解UI设计与交互。
6.参与软件的问题修复和运维工作，确保系统的稳定运行。
7.参与业务流程和技术优化开发流程，提升产品质量和效率。
8.熟悉现有系统源代码以及开发方式
【任职要求】
1.全日制大学本科及以上学历，计算机类、通信类、电子与信息类等相关专业，有3年以上全栈开发经验。
2.掌握Html5、javascript、css，熟练使用Uniapp和Vue.js等多种常用前端框架。
3.了解UI/UX设计原则，了解UI设计与交互
4.熟练使用java常用后端框架（SpringBoot、SpringCloud），熟练使用关系型和非关系型数据库（MySQL、Oracle、SQLServer、Oceanbase、MongoDB等）进行开发，包括数据库设计和接口开发。
5. 熟悉C/S架构，可使用delphi开发语言进行TCP、多线程开发
6. 熟练使用maven、git等常用工具。
7. 熟练使用Linux并掌握相关的网络知识，能应用shell/python等脚本语言。可独立部署数据库、中间件等应用。
8.了解全栈开发流程，包括但不限于软件开发生命周期和敏捷开发方法。熟悉项目管理工具，如禅道，JIRA, Trello, Asana等。
9. 具有高度的责任心和系统安全意识，工作积极主动，善于沟通和解决问题。【任职单位】
浙江天农市场管理有限公司
【薪资】
面议",https://www.zhipin.com/job_detail/8baef68515d8814c03F92d64GFpV.html?securityId=mevjVZx5A82Lc-w1ZtgqRv8MqcUwSsM3CoJ0CTm5CjPG-P7brGMy4aRN-ckjAzgyW57zJR9aDrBok2Ck0u8twWm8R47xGhli90pkepHLeqsORSXu_34JbYISYVjbfH_9JTqFt7u6-Bd_&ka=search-list-1yGQl9q2wIO.search.300
360,Java,辛氪,15-29K,经验不限,本科,sap apap开发相关岗位,https://www.zhipin.com/job_detail/e69d3be4d92273141nZy3t20EFRZ.html?securityId=93OUhsbAJ3L44-P1SY8KkRg6wNZuwyRrviWB72zcgWQO8z3jkH5l-P8Kas1jjpN-CdJZNhYnyv6bX9rbSCrHJpDiGU_NGeXR_NTpuKFuxU5xBvJYjwHzXVOncZ3T2nh2UjO111D0COA~&ka=search-list-1yGQl9q2wIO.search.271
